variable,type,id,coefficient
age,0,AGE,-0.007545978
race,1,1b.RACE,0
race,1,2.RACE,-0.019438812
race,1,3.RACE,-0.063070195
race,1,4.RACE,-0.283479625
race,1,5.RACE,0.567877565
race,1,6.RACE,-0.195391512
gender,1,0b.FEMALE,0
gender,1,1.FEMALE,0.12736227
inc,1,1b.ZIPINC_QRTL,0
inc,1,2.ZIPINC_QRTL,-0.076824125
inc,1,3.ZIPINC_QRTL,0.105529186
inc,1,4.ZIPINC_QRTL,-0.085018088
# flick 20250409213608-KG6d
# flick 20250409214213-A9cr
# flick 20250409214630-S9xh
# flick 20250409230555-vwvu
# flick 20250410003324-sAQo
# flick 20250410004926-lW6G
# flick 20250410014857-ULib
# flick 20250410031442-QRG1
# flick 20250410133822-etRx
# flick 20250410140620-BJXR
# flick 20250410151211-BYqx
# flick 20250410152045-c7Po
# flick 20250410154332-Fgz0
# flick 20250410154740-KwuH
# flick 20250410205354-baiD
# flick 20250413132131-2Wk2
# flick 20250413215354-zIig
# flick 20250414041741-QsZZ
# flick 20250414181111-Ojlq
# flick 20250415191552-ZGE1
# flick 20250415193726-7YSI
# flick 20250415205657-1CN6
